"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"5.6.2023 15:0:36",1,202,606,10.6
"5.6.2023 15:0:36",2,200,600,10
"5.6.2023 15:0:36",3,203,609,10.9
"5.6.2023 15:0:36",4,202,606,10.6
"5.6.2023 15:0:43",1,200,600,10
"5.6.2023 15:0:43",2,200,600,10
"5.6.2023 15:0:43",3,203,609,10.9
"5.6.2023 15:0:43",4,202,606,10.6
"5.6.2023 15:0:49",1,203,609,10.9
"5.6.2023 15:0:49",2,201,603,10.3
"5.6.2023 15:0:49",3,203,609,10.9
"5.6.2023 15:0:49",4,202,606,10.6
"5.6.2023 15:0:56",1,202,606,10.6
"5.6.2023 15:0:56",2,199,597,9.7
"5.6.2023 15:0:56",3,202,606,10.6
"5.6.2023 15:0:56",4,202,606,10.6
"5.6.2023 15:1:3",1,201,603,10.3
"5.6.2023 15:1:3",2,201,603,10.3
"5.6.2023 15:1:3",3,201,603,10.3
"5.6.2023 15:1:3",4,202,606,10.6
"5.6.2023 15:1:10",1,201,603,10.3
"5.6.2023 15:1:10",2,199,597,9.7
"5.6.2023 15:1:10",3,204,612,11.2
"5.6.2023 15:1:10",4,202,606,10.6
"5.6.2023 15:1:16",1,202,606,10.6
"5.6.2023 15:1:16",2,199,597,9.7
"5.6.2023 15:1:16",3,202,606,10.6
"5.6.2023 15:1:16",4,202,606,10.6
"5.6.2023 15:1:23",1,201,603,10.3
"5.6.2023 15:1:23",2,200,600,10
"5.6.2023 15:1:23",3,202,606,10.6
"5.6.2023 15:1:23",4,202,606,10.6
"5.6.2023 15:1:30",1,202,606,10.6
"5.6.2023 15:1:30",2,202,606,10.6
"5.6.2023 15:1:30",3,202,606,10.6
"5.6.2023 15:1:30",4,202,606,10.6
"5.6.2023 15:1:36",1,202,606,10.6
"5.6.2023 15:1:36",2,201,603,10.3
"5.6.2023 15:1:36",3,204,612,11.2
"5.6.2023 15:1:36",4,202,606,10.6
"5.6.2023 15:1:43",1,202,606,10.6
"5.6.2023 15:1:43",2,201,603,10.3
"5.6.2023 15:1:43",3,203,609,10.9
"5.6.2023 15:1:43",4,202,606,10.6
"5.6.2023 15:1:50",1,202,606,10.6
"5.6.2023 15:1:50",2,201,603,10.3
"5.6.2023 15:1:50",3,203,609,10.9
"5.6.2023 15:1:50",4,202,606,10.6
"5.6.2023 15:1:56",1,202,606,10.6
"5.6.2023 15:1:56",2,199,597,9.7
"5.6.2023 15:1:56",3,204,612,11.2
"5.6.2023 15:1:56",4,202,606,10.6
"5.6.2023 15:2:3",1,202,606,10.6
"5.6.2023 15:2:3",2,200,600,10
"5.6.2023 15:2:3",3,203,609,10.9
"5.6.2023 15:2:3",4,201,603,10.3
"5.6.2023 15:2:10",1,202,606,10.6
"5.6.2023 15:2:10",2,200,600,10
"5.6.2023 15:2:10",3,203,609,10.9
"5.6.2023 15:2:10",4,201,603,10.3
"5.6.2023 15:2:17",1,202,606,10.6
"5.6.2023 15:2:17",2,200,600,10
"5.6.2023 15:2:17",3,202,606,10.6
"5.6.2023 15:2:17",4,202,606,10.6
"5.6.2023 15:2:23",1,201,603,10.3
"5.6.2023 15:2:23",2,201,603,10.3
"5.6.2023 15:2:23",3,203,609,10.9
"5.6.2023 15:2:23",4,203,609,10.9
"5.6.2023 15:2:30",1,201,603,10.3
"5.6.2023 15:2:30",2,200,600,10
"5.6.2023 15:2:30",3,203,609,10.9
"5.6.2023 15:2:30",4,202,606,10.6
"5.6.2023 15:2:37",1,202,606,10.6
"5.6.2023 15:2:37",2,201,603,10.3
"5.6.2023 15:2:37",3,204,612,11.2
"5.6.2023 15:2:37",4,201,603,10.3
"5.6.2023 15:2:43",1,202,606,10.6
"5.6.2023 15:2:43",2,201,603,10.3
"5.6.2023 15:2:43",3,203,609,10.9
"5.6.2023 15:2:43",4,202,606,10.6
"5.6.2023 15:2:50",1,202,606,10.6
"5.6.2023 15:2:50",2,201,603,10.3
"5.6.2023 15:2:50",3,203,609,10.9
"5.6.2023 15:2:50",4,203,609,10.9
"5.6.2023 15:2:57",1,203,609,10.9
"5.6.2023 15:2:57",2,200,600,10
"5.6.2023 15:2:57",3,203,609,10.9
"5.6.2023 15:2:57",4,202,606,10.6
"5.6.2023 15:3:3",1,201,603,10.3
"5.6.2023 15:3:3",2,200,600,10
"5.6.2023 15:3:3",3,204,612,11.2
"5.6.2023 15:3:3",4,202,606,10.6
"5.6.2023 15:3:10",1,202,606,10.6
"5.6.2023 15:3:10",2,200,600,10
"5.6.2023 15:3:10",3,203,609,10.9
"5.6.2023 15:3:10",4,202,606,10.6
"5.6.2023 15:3:17",1,203,609,10.9
"5.6.2023 15:3:17",2,200,600,10
"5.6.2023 15:3:17",3,203,609,10.9
"5.6.2023 15:3:17",4,202,606,10.6
"5.6.2023 15:3:23",1,205,615,11.5
"5.6.2023 15:3:23",2,200,600,10
"5.6.2023 15:3:23",3,204,612,11.2
"5.6.2023 15:3:23",4,202,606,10.6
"5.6.2023 15:3:30",1,201,603,10.3
"5.6.2023 15:3:30",2,200,600,10
"5.6.2023 15:3:30",3,203,609,10.9
"5.6.2023 15:3:30",4,201,603,10.3
"5.6.2023 15:3:37",1,202,606,10.6
"5.6.2023 15:3:37",2,201,603,10.3
"5.6.2023 15:3:37",3,203,609,10.9
"5.6.2023 15:3:37",4,201,603,10.3
"5.6.2023 15:3:44",1,202,606,10.6
"5.6.2023 15:3:44",2,201,603,10.3
"5.6.2023 15:3:44",3,203,609,10.9
"5.6.2023 15:3:44",4,203,609,10.9
"5.6.2023 15:3:50",1,204,612,11.2
"5.6.2023 15:3:50",2,201,603,10.3
"5.6.2023 15:3:50",3,203,609,10.9
"5.6.2023 15:3:50",4,203,609,10.9
"5.6.2023 15:3:57",1,204,612,11.2
"5.6.2023 15:3:57",2,201,603,10.3
"5.6.2023 15:3:57",3,203,609,10.9
"5.6.2023 15:3:57",4,202,606,10.6
"5.6.2023 15:4:4",1,202,606,10.6
"5.6.2023 15:4:4",2,201,603,10.3
"5.6.2023 15:4:4",3,203,609,10.9
"5.6.2023 15:4:4",4,202,606,10.6
"5.6.2023 15:4:10",1,202,606,10.6
"5.6.2023 15:4:10",2,202,606,10.6
"5.6.2023 15:4:10",3,203,609,10.9
"5.6.2023 15:4:10",4,202,606,10.6
"5.6.2023 15:4:17",1,202,606,10.6
"5.6.2023 15:4:17",2,200,600,10
"5.6.2023 15:4:17",3,203,609,10.9
"5.6.2023 15:4:17",4,201,603,10.3
"5.6.2023 15:4:24",1,202,606,10.6
"5.6.2023 15:4:24",2,201,603,10.3
"5.6.2023 15:4:24",3,203,609,10.9
"5.6.2023 15:4:24",4,202,606,10.6
"5.6.2023 15:4:30",1,202,606,10.6
"5.6.2023 15:4:30",2,202,606,10.6
"5.6.2023 15:4:30",3,201,603,10.3
"5.6.2023 15:4:30",4,202,606,10.6
"5.6.2023 15:4:37",1,202,606,10.6
"5.6.2023 15:4:37",2,200,600,10
"5.6.2023 15:4:37",3,204,612,11.2
"5.6.2023 15:4:37",4,201,603,10.3
"5.6.2023 15:4:44",1,201,603,10.3
"5.6.2023 15:4:44",2,200,600,10
"5.6.2023 15:4:44",3,203,609,10.9
"5.6.2023 15:4:44",4,201,603,10.3
"5.6.2023 15:4:50",1,202,606,10.6
"5.6.2023 15:4:50",2,202,606,10.6
"5.6.2023 15:4:50",3,203,609,10.9
"5.6.2023 15:4:50",4,201,603,10.3
"5.6.2023 15:4:57",1,202,606,10.6
"5.6.2023 15:4:57",2,201,603,10.3
"5.6.2023 15:4:57",3,203,609,10.9
"5.6.2023 15:4:57",4,203,609,10.9
"5.6.2023 15:5:4",1,202,606,10.6
