"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"8.6.2023 9:39:15",4,202,606,10.6
"8.6.2023 9:39:25",1,206,618,11.8
"8.6.2023 9:39:25",2,202,606,10.6
"8.6.2023 9:39:25",3,203,609,10.9
"8.6.2023 9:39:25",4,202,606,10.6
"8.6.2023 9:39:34",1,205,615,11.5
"8.6.2023 9:39:34",2,205,615,11.5
"8.6.2023 9:39:34",3,205,615,11.5
"8.6.2023 9:39:34",4,203,609,10.9
"8.6.2023 9:39:43",1,205,615,11.5
"8.6.2023 9:39:43",2,207,621,12.1
"8.6.2023 9:39:43",3,204,612,11.2
"8.6.2023 9:39:43",4,203,609,10.9
"8.6.2023 9:39:53",1,206,618,11.8
"8.6.2023 9:39:53",2,208,624,12.4
"8.6.2023 9:39:53",3,205,615,11.5
"8.6.2023 9:39:53",4,203,609,10.9
"8.6.2023 9:40:2",1,205,615,11.5
"8.6.2023 9:40:2",2,206,618,11.8
"8.6.2023 9:40:2",3,205,615,11.5
"8.6.2023 9:40:2",4,203,609,10.9
"8.6.2023 9:40:11",1,203,609,10.9
"8.6.2023 9:40:11",2,206,618,11.8
"8.6.2023 9:40:11",3,206,618,11.8
"8.6.2023 9:40:11",4,202,606,10.6
"8.6.2023 9:40:21",1,206,618,11.8
"8.6.2023 9:40:21",2,201,603,10.3
"8.6.2023 9:40:21",3,205,615,11.5
"8.6.2023 9:40:21",4,202,606,10.6
"8.6.2023 9:40:30",1,206,618,11.8
"8.6.2023 9:40:30",2,205,615,11.5
"8.6.2023 9:40:30",3,206,618,11.8
"8.6.2023 9:40:30",4,203,609,10.9
"8.6.2023 9:40:39",1,205,615,11.5
"8.6.2023 9:40:39",2,206,618,11.8
"8.6.2023 9:40:39",3,205,615,11.5
"8.6.2023 9:40:39",4,203,609,10.9
"8.6.2023 9:40:49",1,205,615,11.5
"8.6.2023 9:40:49",2,206,618,11.8
"8.6.2023 9:40:49",3,206,618,11.8
"8.6.2023 9:40:49",4,202,606,10.6
"8.6.2023 9:40:58",1,207,621,12.1
"8.6.2023 9:40:58",2,206,618,11.8
"8.6.2023 9:40:58",3,206,618,11.8
"8.6.2023 9:40:58",4,203,609,10.9
"8.6.2023 9:41:7",1,204,612,11.2
"8.6.2023 9:41:7",2,206,618,11.8
"8.6.2023 9:41:7",3,205,615,11.5
"8.6.2023 9:41:7",4,203,609,10.9
"8.6.2023 9:41:16",1,204,612,11.2
"8.6.2023 9:41:16",2,206,618,11.8
"8.6.2023 9:41:16",3,205,615,11.5
"8.6.2023 9:41:16",4,202,606,10.6
"8.6.2023 9:41:26",1,205,615,11.5
"8.6.2023 9:41:26",2,205,615,11.5
"8.6.2023 9:41:26",3,205,615,11.5
"8.6.2023 9:41:26",4,203,609,10.9
"8.6.2023 9:41:35",1,206,618,11.8
"8.6.2023 9:41:35",2,206,618,11.8
"8.6.2023 9:41:35",3,206,618,11.8
"8.6.2023 9:41:35",4,202,606,10.6
"8.6.2023 9:41:44",1,206,618,11.8
"8.6.2023 9:41:44",2,205,615,11.5
"8.6.2023 9:41:44",3,205,615,11.5
"8.6.2023 9:41:44",4,203,609,10.9
"8.6.2023 9:41:54",1,205,615,11.5
"8.6.2023 9:41:54",2,205,615,11.5
"8.6.2023 9:41:54",3,205,615,11.5
"8.6.2023 9:41:54",4,204,612,11.2
"8.6.2023 9:42:3",1,206,618,11.8
"8.6.2023 9:42:3",2,205,615,11.5
"8.6.2023 9:42:3",3,205,615,11.5
"8.6.2023 9:42:3",4,205,615,11.5
"8.6.2023 9:42:12",1,205,615,11.5
"8.6.2023 9:42:12",2,203,609,10.9
"8.6.2023 9:42:12",3,206,618,11.8
